Rank,Site,Manufacturer,Computer,Country,Year,Cores,RMax,RPeak,Nmax,Nhalf,Power,Processor Family,Processor,Proc. Frequency,Processor Cores,System Family,System Model,Operating System,Accelerator,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent,Publication Date
271,"Carrillo Business Technologies, Inc",Hewlett-Packard,"Cluster Platform 4000 BL465c G7, 12C Opteron 2.2Ghz, Infiniband",United States,2011,7704,52789.2,67795.2,0,0,0.0,AMD x86_64,AMD x86_64 Opteron 12 Core,2200,12,HP Cluster Platform 4000BL,Cluster Platform 4000 BL465c G7,Linux,,Cluster,Industry,Not Specified,Infiniband,Infiniband QDR,North America,Americas,06/2011
272,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5670 2.93 GHz, GigE",United States,2010,8556,52734.1,100276.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
273,Digital Media,IBM,"xSeries x3650M2 Cluster Xeon QC GT 2.66 GHz, GigEthernet",Singapore,2011,9304,52633.0,98995.0,0,0,408.21,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,IBM xSeries,xSeries x3650 Cluster Xeon quad core,Linux,,Cluster,Industry,Digital Media,Gigabit Ethernet,Gigabit Ethernet,South-eastern Asia,Asia,06/2011
274,CSIRO,Xenon Systems,"Supermicro Xeon Cluster, E5462 2.8 Ghz, Nvidia Tesla s2050 GPU, Infiniband",Australia,2010,4608,52550.0,143300.0,670000,335000,94.6,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2800,4,NOW - Intel,Supermicro Cluster,Linux,NVIDIA 2050,Cluster,Government,Research,Infiniband,Infiniband,Australia and New Zealand,Oceania,06/2011
275,Yale University,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5560 2.8 GHz, Infiniband",United States,2010,5632,52526.3,63078.4,0,0,0.0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2800,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,,Cluster,Academic,Benchmarking,Infiniband,Infiniband QDR,North America,Americas,06/2011
276,Telecommunication Company,IBM,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.66Ghz, GigE",United States,2011,9300,52406.0,98952.0,0,0,248.44,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,IBM BladeCenter,"BladeCenter HS22 Cluster, WM Xeon 6-core",Linux,,Cluster,Industry,Telecomm,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
277,Purdue University,Hewlett-Packard,"Cluster Platform 3000 DL165, Opteron 2.5 GHz, 10GigE",United States,2010,7944,52192.1,79440.0,0,0,0.0,AMD x86_64,AMD x86_64 Opteron Quad Core,2500,4,HP Cluster Platform 3000,HP DL165 Cluster,Linux,,Cluster,Academic,Research,Gigabit Ethernet,10G Ethernet,North America,Americas,06/2011
278,ETH Zuerich,Oracle,"Sun Blade X6440, Opteron 2.5 Ghz, Infiniband QDR",Switzerland,2009,6464,51880.0,64640.0,1032192,0,152.0,AMD x86_64,AMD x86_64 Opteron Quad Core,2500,4,Sun Blade System,Sun Blade x6440,Linux,,Cluster,Academic,Research,Infiniband,Infiniband,Western Europe,Europe,06/2011
279,United Kingdom Meteorological Office,IBM,"Power 575, p6 4.7 GHz, Infiniband",United Kingdom,2009,3520,51863.3,66176.0,0,0,562.6,Power,POWER6,4700,2,IBM pSeries,pSeries 575,AIX,,MPP,Research,Weather Forecasting,Infiniband,Infiniband,Northern Europe,Europe,06/2011
280,United Kingdom Meteorological Office,IBM,"Power 575, p6 4.7 GHz, Infiniband",United Kingdom,2009,3520,51863.3,66176.0,0,0,562.6,Power,POWER6,4700,2,IBM pSeries,pSeries 575,AIX,,MPP,Research,Weather Forecasting,Infiniband,Infiniband,Northern Europe,Europe,06/2011
281,Engineering Company,IBM,"xSeries x3650M3, Xeon X56xx 2.93 GHz, GigE",China,2011,9192,51797.2,107730.0,0,0,292.61,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,IBM xSeries,xSeries x3650M3 Cluster,Linux,,Cluster,Industry,Transportation,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia,06/2011
282,Engineering Company,IBM,"xSeries x3650M3, Xeon X56xx 2.93 GHz, GigE",China,2011,9192,51797.2,107730.0,0,0,292.61,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,IBM xSeries,xSeries x3650M3 Cluster,Linux,,Cluster,Industry,Transportation,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia,06/2011
